event_id,stock_code,stock_name,market_code,relation_type,relation_strength,relation_layer,note,event_day_pct,event_day_ar,ret_close_t2,ret_close_t5,ret_close_t7,car_t2,car_t5,car_t7
A_20260303_600026,600026,中远海能,sh.600026,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.98%, 换手率=3.83%",9.9823,11.521266,10.335689045936402,,,12.230572,,
A_20260302_600028,600028,中国石化,sh.600028,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.06%, 换手率=1.15%",10.0619,9.679321999999999,14.551083591331281,,,16.977561,,
A_20260303_600028,600028,中国石化,sh.600028,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.99%, 换手率=1.59%",9.9859,11.524866000000001,-1.1251758087201136,,,1.3190720000000011,,
A_20250403_600032,600032,浙江新能,sh.600032,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.96%, 换手率=2.43%",9.9612,10.550286999999999,17.205692108667535,6.209573091849951,13.32470892626132,22.402101999999996,10.097247999999997,16.610498999999997
A_20251125_600033,600033,福建高速,sh.600033,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.97%, 换手率=4.26%",9.9723,9.020042,4.709141274238227,17.728531855955687,16.343490304709142,3.6221459999999994,14.989739,14.038657000000002
A_20251202_600033,600033,福建高速,sh.600033,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.10%, 换手率=6.00%",10.1036,10.587616,8.808290155440401,24.611398963730547,14.248704663212418,9.636534000000001,22.382122,15.104643999999999
A_20250407_600037,600037,歌华有线,sh.600037,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.01%, 换手率=1.84%",-10.0135,-2.9679850000000005,-8.660351826792967,-5.953991880920162,-6.495263870094725,-4.165148,-3.1293210000000005,-4.067515
A_20250605_600037,600037,歌华有线,sh.600037,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.99%, 换手率=6.57%",9.987,9.759205,7.003891050583655,3.8910505836575737,0.6485084306095956,6.839912,3.728555,1.11491
A_20250407_600051,600051,宁波联合,sh.600051,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.00%, 换手率=1.66%",-10.0,-2.954485,-10.441176470588232,-7.205882352941185,-7.352941176470596,-6.097948,-4.4694210000000005,-4.969315
A_20250424_600051,600051,宁波联合,sh.600051,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.96%, 换手率=12.33%",9.9554,10.022077999999999,18.87072808320951,2.6745913818722267,3.714710252600306,18.374446,3.91355,3.769125
A_20250425_600051,600051,宁波联合,sh.600051,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.00%, 换手率=3.03%",10.0,9.930337,-2.7027027027027084,-6.891891891891899,-5.675675675675674,-1.4746349999999993,-7.004054999999999,-6.0780270000000005
